ID,PO_/_SO_#,ASN/DN_#,Country,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,Sub_Classification,Item_Description,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Weight_(Kilograms),Freight_Cost_(USD),Line_Item_Insurance_(USD),Days_to_Process
11917,SO,DN,Nigeria,From RDC,N/A - From RDC,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,25000,300250.0,12.01,0.4,Yes,6124.0,13353.34,480.4,-98
11918,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Pediatric,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",240,2613,5487.3,2.1,0.01,Yes,979.0,11836.61,8.78,-86
11919,SO,DN,Zambia,From RDC,N/A - From RDC,Truck,Adult,"Nevirapine 200mg, tablets, 60 Tabs",60,20989,71362.6,3.4,0.06,Yes,1162.0,3629.37,139.87,-34
11920,SO,DN,Rwanda,From RDC,N/A - From RDC,Truck,Adult,"Nevirapine 200mg, tablets, 60 Tabs",60,4703,15049.6,3.2,0.05,Yes,455.0,3754.14,29.5,-60
11921,SO,DN,Nigeria,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,2339,21869.65,9.35,0.16,No,909.0,,34.99,-104
11923,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Adult,"Abacavir 300mg, tablets, 60 Tabs",60,3000,76740.0,25.58,0.43,Yes,187.0,5110.42,150.41,41
11924,SO,DN,Rwanda,From RDC,N/A - From RDC,Air,Adult,"Lamivudine 150mg, tablets, 60 Tabs",60,10530,25693.2,2.44,0.04,Yes,544.0,5029.05,50.36,33
11925,SO,DN,Tanzania,From RDC,N/A - From RDC,,Pediatric,"Didanosine 100mg, chewable/dispersible tablets, 60 Tabs",60,11640,90210.0,7.75,0.13,No,893.0,,144.34,-111
11926,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,24350,267850.0,11.0,0.37,No,1034.0,,524.99,48
11927,SO,DN,Sierra Leone,From RDC,N/A - From RDC,Air,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",20,500,16000.0,32.0,1.6,Yes,163.0,7795.0,25.6,-135
11928,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Pediatric,"Stavudine 1mg/ml, powder for oral solution, 200 ml",200,1200,1680.0,1.4,0.01,Yes,115.0,1297.57,3.29,57
11932,SO,DN,Nigeria,From RDC,N/A - From RDC,Air,Adult,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",30,37666,988732.5,26.25,0.88,Yes,3273.0,6443.63,1937.92,79
11933,SO,DN,Nigeria,From RDC,N/A - From RDC,Air,Adult,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",30,4,105.0,26.25,0.88,No,917.0,,0.17,-102
11934,SO,DN,Nigeria,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,1054,9854.9,9.35,0.16,No,917.0,,15.77,-102
11935,SO,DN,Nigeria,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,4953,36652.2,7.4,0.12,No,917.0,,58.64,-102
11936,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Adult,"Stavudine 30mg, capsules, 60 Caps",60,12000,18600.0,1.55,0.03,No,944.0,,36.46,-61
11937,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Pediatric,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",240,350,5652.5,16.15,0.07,No,944.0,,11.08,-61
11938,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Adult,"Abacavir 300mg, tablets, 60 Tabs",60,450,11452.5,25.45,0.42,Yes,47.0,1432.88,22.45,65
11939,SO,DN,Nigeria,From RDC,N/A - From RDC,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,4200,49224.0,11.72,0.39,Yes,621.0,4099.51,78.76,-164
11940,SO,DN,Tanzania,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,2011,14881.4,7.4,0.12,Yes,6650.0,36855.6,23.81,-128
11942,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,2139,23529.0,11.0,0.37,No,945.0,,37.65,-69
11943,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,93000,869550.0,9.35,0.16,No,945.0,,1391.28,-69
11944,SO,DN,Ethiopia,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,2855,20327.6,7.12,0.12,No,1060.0,,39.84,45
11945,SO,DN,Nigeria,From RDC,N/A - From RDC,Air,Adult,"Stavudine 30mg, capsules, 60 Caps",60,7876,11971.52,1.52,0.03,Yes,5588.0,18617.93,23.46,-66
11946,SO,DN,Nigeria,From RDC,N/A - From RDC,Air,Adult,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",30,32696,858270.0,26.25,0.88,No,960.0,,1682.21,-66
11947,SO,DN,Nigeria,From RDC,N/A - From RDC,Air,Pediatric,"Efavirenz 200mg, capsule, 90 Caps",90,1132,18112.0,16.0,0.18,No,960.0,,35.5,-66
11948,SO,DN,Zambia,From RDC,N/A - From RDC,Truck,Adult,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",30,100000,2625000.0,26.25,0.88,Yes,88190.0,11519.94,5145.0,-40
11949,SO,DN,Nigeria,From RDC,N/A - From RDC,Air Charter,Pediatric,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",240,833,1582.7,1.9,0.01,No,1124.0,,3.1,74
11950,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,19290,138888.0,7.2,0.12,Yes,2096.0,19495.73,272.22,1
11951,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Pediatric,"Stavudine 1mg/ml, powder for oral solution, 200 ml",200,800,1120.0,1.4,0.01,Yes,77.0,1286.0,2.2,60
11953,SO,DN,Zambia,From RDC,N/A - From RDC,,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,20880,250768.8,12.01,0.4,Yes,1603.0,8539.26,401.23,-90
11954,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,30654,359264.88,11.72,0.39,No,988.0,,704.16,-34
11955,SO,DN,Nigeria,From RDC,N/A - From RDC,Air Charter,Adult,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",60,63940,728916.0,11.4,0.19,Yes,7189.0,11492.86,1428.68,74
11956,SO,DN,Nigeria,From RDC,N/A - From RDC,Air Charter,Adult,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",60,4314,49179.6,11.4,0.19,Yes,485.0,22985.73,96.39,74
11957,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",120,1764,72500.4,41.1,0.34,Yes,,0.0,142.1,75
11958,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",120,1544,63458.4,41.1,0.34,Yes,,0.0,124.38,75
11959,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,5000,55000.0,11.0,0.37,No,933.0,,88.0,-51
11960,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Pediatric,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",300,1500,61650.0,41.1,0.14,No,1163.0,,120.83,78
11961,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Adult,"Nevirapine 200mg, tablets, 60 Tabs",60,7511,25537.4,3.4,0.06,Yes,,0.0,50.05,79
11962,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Pediatric,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",240,352,5280.0,15.0,0.06,Yes,125.0,1328.03,10.35,128
11963,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Pediatric,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",240,274,4110.0,15.0,0.06,Yes,98.0,1763.84,8.06,100
11964,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",60,10808,127534.4,11.8,0.2,Yes,1320.0,6759.55,249.97,155
11966,SO,DN,Kenya,From RDC,N/A - From RDC,Truck,Pediatric,"Efavirenz 200mg, capsule, 90 Caps",90,170,1.7,0.01,0.0,No,1193.0,,0.0,109
11967,SO,DN,Nigeria,From RDC,N/A - From RDC,Air,Adult,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",30,2067,54258.75,26.25,0.88,Yes,235.0,2922.53,106.35,116
11968,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Pediatric,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",240,2345,4455.5,1.9,0.01,No,1221.0,,8.73,138
11969,SO,DN,Mozambique,From RDC,N/A - From RDC,Truck,Adult,"Stavudine 30mg, capsules, 60 Caps",60,630,938.7,1.49,0.02,No,1231.0,,1.84,175
11970,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Pediatric,"Efavirenz 200mg, capsule, 90 Caps",90,1680,25636.8,15.26,0.17,Yes,3337.0,9936.96,50.25,158
11971,SO,DN,Swaziland,From RDC,N/A - From RDC,Air,Pediatric,"Efavirenz 200mg, capsule, 90 Caps",90,1417,18038.41,12.73,0.14,No,1238.0,,35.36,137
11972,SO,DN,Swaziland,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",60,13600,154360.0,11.35,0.19,No,1238.0,,302.55,137
11973,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Indinavir 400mg [Crixivan], capsules, 180 Caps",180,616,30800.0,50.0,0.28,Yes,227.0,1943.05,60.37,136
11974,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Pediatric,"Efavirenz 200mg, capsule, 90 Caps",90,720,10987.2,15.26,0.17,No,1176.0,,21.53,136
11975,SO,DN,Zambia,From RDC,N/A - From RDC,Truck,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,100000,1100000.0,11.0,0.37,Yes,7736.0,10069.54,2156.0,157
11980,SO,DN,Nigeria,From RDC,N/A - From RDC,Air Charter,Adult,"Stavudine 30mg, capsules, 60 Caps",60,1002,1553.1,1.55,0.03,No,1244.0,,3.04,163
11981,SO,DN,Zambia,From RDC,N/A - From RDC,Truck,Pediatric,"Efavirenz 200mg, capsule, 90 Caps",90,680,10376.8,15.26,0.17,No,1250.0,,20.34,162
11983,SO,DN,Nigeria,From RDC,N/A - From RDC,Air Charter,Adult,"Zidovudine 300mg, tablets, 60 Tabs",60,306,2359.26,7.71,0.13,No,1261.0,,4.62,163
11988,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Adult,"Nevirapine 200mg, tablets, 60 Tabs",60,18750,56250.0,3.0,0.05,Yes,111.0,12448.02,110.25,172
11989,SO,DN,Zimbabwe,From RDC,N/A - From RDC,Truck,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,4000,42480.0,10.62,0.35,No,1289.0,,83.26,169
11990,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,26710,259621.2,9.72,0.32,Yes,1866.0,6111.2,508.86,191
11991,SO,DN,Uganda,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,14479,97878.04,6.76,0.11,No,1303.0,,191.84,222
11992,SO,DN,Uganda,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,1604,11420.48,7.12,0.12,Yes,120.0,1670.63,22.38,222
11993,SO,DN,Uganda,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,4340,30900.8,7.12,0.12,Yes,322.0,3017.15,60.57,194
11994,SO,DN,Zambia,From RDC,N/A - From RDC,Truck,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,12740,140140.0,11.0,0.37,Yes,987.0,2448.71,274.67,243
11995,SO,DN,Zambia,From RDC,N/A - From RDC,Truck,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,120000,960000.0,8.0,0.27,Yes,9022.0,4506.18,1881.6,243
11996,SO,DN,Nigeria,From RDC,N/A - From RDC,Air Charter,Adult,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",60,4314,49179.6,11.4,0.19,Yes,486.0,7445.8,96.39,212
11997,SO,DN,Nigeria,From RDC,N/A - From RDC,Air Charter,Adult,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",60,41949,478218.6,11.4,0.19,Yes,4724.0,7445.8,937.31,212
11998,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Adult,"Stavudine 30mg, capsules, 60 Caps",60,8640,12614.4,1.46,0.02,No,1373.0,,24.72,208
11999,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Adult,"Stavudine 15mg, capsules, 60 Caps",60,108,162.0,1.5,0.02,Yes,78.0,6811.4,0.32,208
12000,SO,DN,Mozambique,From RDC,N/A - From RDC,Truck,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,17000,121040.0,7.12,0.12,Yes,4374.0,1799.88,237.24,256
12001,SO,DN,Zambia,From RDC,N/A - From RDC,Truck,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,108000,946080.0,8.76,0.15,No,1386.0,,1854.32,254
12003,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Pediatric,"Efavirenz 200mg, capsule, 90 Caps",90,2520,32079.6,12.73,0.14,No,1398.0,,62.88,247
12004,SO,DN,Uganda,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",60,19650,223027.5,11.35,0.19,Yes,2237.0,15250.99,437.13,248
12005,SO,DN,Zambia,From RDC,N/A - From RDC,Truck,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,52481,373664.72,7.12,0.12,Yes,5586.0,6759.28,732.38,261
12006,SO,DN,Zimbabwe,From RDC,N/A - From RDC,Truck,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,76000,541120.0,7.12,0.12,No,1411.0,,1060.6,261
12008,SO,DN,Uganda,From RDC,N/A - From RDC,Air,Adult,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",30,1795,47118.75,26.25,0.88,Yes,160.0,2590.35,92.35,253
12009,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Pediatric,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",240,6000,11520.0,1.92,0.01,No,1422.0,,22.58,255
12010,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Adult,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",30,998,26197.5,26.25,0.88,No,1427.0,,51.35,264
12011,SO,DN,Nigeria,From RDC,N/A - From RDC,Air Charter,Adult,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",60,52920,603288.0,11.4,0.19,Yes,5960.0,9341.49,1182.44,289
12012,SO,DN,Zambia,From RDC,N/A - From RDC,Truck,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,4000,24880.0,6.22,0.21,Yes,1900.0,4997.46,48.76,282
12014,SO,DN,Haiti,From RDC,N/A - From RDC,Air,Adult,"Nevirapine 200mg, tablets, 60 Tabs",60,15825,45892.5,2.9,0.05,No,1466.0,,89.95,290
12015,SO,DN,Ethiopia,From RDC,N/A - From RDC,Air,Adult,"Lamivudine 150mg, tablets, 60 Tabs",60,4500,10980.0,2.44,0.04,Yes,658.0,4311.22,21.52,275
12016,SO,DN,Lebanon,From RDC,N/A - From RDC,Air,Pediatric,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",240,24,0.24,0.01,0.0,No,1487.0,,0.0,318
12017,SO,DN,Uganda,From RDC,N/A - From RDC,Air,Adult,"Stavudine 30mg, capsules, 60 Caps",60,300,438.0,1.46,0.02,Yes,20.0,667.17,0.94,298
12018,SO,DN,Uganda,From RDC,N/A - From RDC,Air,Adult,"Zidovudine 300mg, tablets, 60 Tabs",60,589,4435.17,7.53,0.13,Yes,33.0,747.17,9.56,298
12020,SO,DN,Ethiopia,From RDC,N/A - From RDC,Air,Adult,"Nevirapine 200mg, tablets, 60 Tabs",60,20000,58000.0,2.9,0.05,Yes,2190.0,7573.92,125.05,338
12021,SO,DN,Ethiopia,From RDC,N/A - From RDC,Air,Adult,"Nevirapine 200mg, tablets, 60 Tabs",60,25540,74066.0,2.9,0.05,Yes,2031.0,6774.59,159.69,374
12025,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,495,8043.75,16.25,0.54,No,16.0,,,-682
12026,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,2770,28392.5,10.25,0.17,No,16.0,,,-682
12030,SO,DN,Zambia,From RDC,N/A - From RDC,,Adult,"Abacavir 300mg, tablets, 60 Tabs",60,3334,118357.0,35.5,0.59,Yes,161.0,7441.23,,-647
12031,SO,DN,Nigeria,From RDC,N/A - From RDC,,Pediatric,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",240,1200,2580.0,2.15,0.01,No,72.0,,,-628
12033,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Abacavir 300mg, tablets, 60 Tabs",60,566,20262.8,35.8,0.6,No,121.0,,,-597
12034,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,10000,162500.0,16.25,0.54,Yes,898.0,3002.0,,-611
12037,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,6519,105933.75,16.25,0.54,No,46.0,,,-611
12041,SO,DN,Rwanda,From RDC,N/A - From RDC,Air,Adult,"Lamivudine 150mg, tablets, 60 Tabs",60,1267,4193.77,3.31,0.06,No,100.0,,,-601
12043,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,9000,67500.0,7.5,0.12,Yes,972.0,3162.0,,-615
12044,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,1000,10250.0,10.25,0.17,Yes,114.0,1470.0,,-611
12045,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,,Adult,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",30,456,7752.0,17.0,0.57,Yes,682.0,2527.0,,-615
12046,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,6944,71176.0,10.25,0.17,No,74.0,,,-615
12047,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,8148,132405.0,16.25,0.54,Yes,741.0,2656.0,,-615
12050,SO,DN,Nigeria,From RDC,N/A - From RDC,,Adult,"Lamivudine 150mg, tablets, 60 Tabs",60,552,1827.12,3.31,0.06,No,209.0,,2.92,-551
12056,SO,DN,Nigeria,From RDC,N/A - From RDC,,Pediatric,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",240,313,1940.6,6.2,0.03,No,209.0,,3.1,-551
12058,SO,DN,Tanzania,From RDC,N/A - From RDC,Air,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",20,100,3200.0,32.0,1.6,Yes,,2297.0,,-548
12059,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",60,1019,71330.0,70.0,1.17,Yes,138.0,439.17,,-550
12060,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",120,801,32921.1,41.1,0.34,Yes,333.0,630.23,,-543
12061,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",30,2684,45628.0,17.0,0.57,No,148.0,,,-571
12062,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",60,29959,524282.5,17.5,0.29,No,148.0,,,-571
12063,SO,DN,Nigeria,From RDC,N/A - From RDC,,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,203,2168.04,10.68,0.18,No,172.0,,,-558
12064,SO,DN,Nigeria,From RDC,N/A - From RDC,,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,1799,13492.5,7.5,0.12,No,172.0,,,-558
12067,SO,DN,Nigeria,From RDC,N/A - From RDC,,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/40mg, tablets, 60 Tabs",60,903,6953.1,7.7,0.13,Yes,57.0,1339.8,11.12,-558
12068,SO,DN,Zimbabwe,From RDC,N/A - From RDC,,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,2800,45528.0,16.26,0.54,Yes,246.0,1130.49,,-595
12071,SO,DN,Zambia,From RDC,N/A - From RDC,,Pediatric,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",240,237,5095.5,21.5,0.09,Yes,85.0,759.41,8.15,-564
12072,SO,DN,Nigeria,From RDC,N/A - From RDC,,Adult,"Lamivudine/Zidovudine+Nevirapine 150/300+200mg, tablets, co-blister, 60+60 Tabs",120,10020,205410.0,20.5,0.17,No,209.0,,328.66,-551
12073,SO,DN,Tanzania,From RDC,N/A - From RDC,Air,Pediatric,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",300,147,6041.7,41.1,0.14,No,247.0,,9.67,-524
12074,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,7426,79309.68,10.68,0.18,Yes,3073.0,7947.0,126.9,-509
12075,SO,DN,Zambia,From RDC,N/A - From RDC,,Adult,"Nevirapine 200mg, tablets, 60 Tabs",60,79029,282133.53,3.57,0.06,Yes,7393.0,30412.53,451.41,-538
12077,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Adult,"Stavudine 15mg, capsules, 60 Caps",60,1161,2496.15,2.15,0.04,Yes,399.0,4200.78,3.99,-502
12078,SO,DN,Rwanda,From RDC,N/A - From RDC,Air,Adult,"Indinavir 400mg [Crixivan], capsules, 180 Caps",180,112,5600.0,50.0,0.28,Yes,24.0,1161.0,8.96,-517
12079,SO,DN,Rwanda,From RDC,N/A - From RDC,Air,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",20,92,2944.0,32.0,1.6,Yes,28.0,1604.96,4.71,-517
12080,SO,DN,Côte d'Ivoire,From RDC,N/A - From RDC,Air,Pediatric,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",300,56,2301.6,41.1,0.14,No,265.0,,3.68,-506
12083,SO,DN,Tanzania,From RDC,N/A - From RDC,Air,HIV test,"HIV 1/2, Capillus HIV Kit, 100 Tests",100,422,58658.0,139.0,1.39,Yes,3093.0,1547.0,93.85,-541
12086,SO,DN,Tanzania,From RDC,N/A - From RDC,Air,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,29489,314942.52,10.68,0.18,Yes,2670.0,7533.0,503.91,-494
12088,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",60,530,37100.0,70.0,1.17,No,304.0,,59.36,-471
12089,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Abacavir 300mg, tablets, 60 Tabs",60,960,34080.0,35.5,0.59,No,304.0,,54.53,-471
12090,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Indinavir 400mg [Crixivan], capsules, 180 Caps",180,740,36496.8,49.32,0.27,No,304.0,,58.39,-471
12091,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Saquinavir 200mg [Invirase], capsules, 270 Caps",270,521,39747.09,76.29,0.28,No,304.0,,63.6,-471
12092,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",30,3318,56406.0,17.0,0.57,No,304.0,,90.25,-471
12093,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",120,2698,110887.8,41.1,0.34,No,304.0,,177.42,-471
12094,SO,DN,Mozambique,From RDC,N/A - From RDC,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,25913,434042.75,16.75,0.56,No,304.0,,694.47,-471
12100,SO,DN,Rwanda,From RDC,N/A - From RDC,Air,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",20,1883,60256.0,32.0,1.6,Yes,627.0,7670.04,96.41,-446
12107,SO,DN,Zambia,From RDC,N/A - From RDC,,Pediatric,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",240,1000,16500.0,16.5,0.07,Yes,355.0,1886.39,26.4,-485
12109,SO,DN,Ethiopia,From RDC,N/A - From RDC,,Pediatric,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",240,11950,23541.5,1.97,0.01,No,332.0,,37.67,-488
12110,SO,DN,Ethiopia,From RDC,N/A - From RDC,,Adult,"Lamivudine 150mg, tablets, 60 Tabs",60,46855,142439.2,3.04,0.05,No,332.0,,227.9,-488
12112,SO,DN,Rwanda,From RDC,N/A - From RDC,Air,HIV test,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",30,1883,31069.5,16.5,0.55,Yes,752.0,4436.76,49.71,-478
12113,SO,DN,Zimbabwe,From RDC,N/A - From RDC,Truck,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,37240,275576.0,7.4,0.12,No,355.0,,440.92,-472
